Date,Billie Creek Divide SWE (in),Chemult Alternate SWE (in),Cold Springs Camp SWE (in),Diamond Lake SWE (in),Fish Lake SWE (in),Fourmile Lake SWE (in),Quartz Mountain SWE (in),Sevenmile Marsh SWE (in),Silver Creek SWE (in),Strawberry SWE (in),Summer Rim SWE (in),Taylor Butte SWE (in)
2025-02-01,15.3,11,22.3,15.9,5.6,19.1,1.6,24.3,10.9,4.2,6.2,6.1
2025-02-02,17,11.6,23.6,17.4,5.6,20.6,2.1,25.6,11.7,4.9,7.5,7.4
2025-02-03,18.1,11.6,24.5,17.6,6.7,21.7,3.4,27,11.8,6.8,9,8.1
2025-02-04,19.8,12.3,25.9,18.9,8.1,23.4,4.5,28.7,12.6,8.3,10.7,9.3
2025-02-05,20.3,12.2,26.1,18.8,8.8,24.2,5.2,29.3,13.4,9.2,12.2,9.8
2025-02-06,20.5,12.4,26.1,19,8.8,24.4,5.3,29.7,14.3,9.3,12.2,9.8
2025-02-07,21.4,12.9,27,20.1,8.9,25.1,5.8,30.2,15.4,9.9,13,10.9
2025-02-08,20.9,12.6,26.4,18.9,9.2,25.2,5.8,30.2,15.7,9.8,12.7,10
2025-02-09,21.3,12.6,26.8,19.2,9.1,25.3,5.8,30.3,15.8,9.8,12.8,10.2
2025-02-10,21.8,12.7,27.3,19.6,9,25.2,5.9,30.2,15.8,9.9,13,10.6
2025-02-11,22,12.8,27.5,20.1,8.9,25.2,6,30.1,15.8,9.9,13.3,10.9
2025-02-12,22,12.6,27.4,19.9,8.8,25.1,5.9,29.9,15.7,9.8,13.2,10.9
2025-02-13,22.6,12.8,28,20.5,8.8,25.1,6.1,29.9,15.7,9.9,13.6,11.6
2025-02-14,22.1,13.2,27.2,18.6,8.8,25.6,6.2,30.6,15.8,10.2,13.4,11.2
2025-02-15,22.6,12.9,27.2,17.9,9.4,26.3,6,31.2,15.7,10.3,13,10
2025-02-16,23.6,13.4,28.3,19.3,9.5,26.5,6.3,31.4,15.8,10.5,13.4,10.9
2025-02-17,24.1,13.1,28.8,20.4,9.8,27.3,6.5,32.1,16.1,10.9,13.5,11.4
2025-02-18,24,12.8,28.8,20.7,9.9,27.6,6.4,32.9,16.2,10.9,13.3,10.8
2025-02-19,24.7,12.8,29.4,21.4,10.1,27.9,6.5,33.1,16.2,10.8,13.5,11.1
2025-02-20,25.1,12.2,29.1,21.9,10.6,28.5,6.6,33.5,16.6,10.9,13.5,10.7
2025-02-21,25.5,12,29.5,22.4,10.6,28.7,6.7,33.5,16.7,11,13.6,9.7
2025-02-22,25.6,12,29.6,22.7,10.6,28.8,6.7,33.5,16.7,11,13.8,10.5
2025-02-23,25.7,11.9,30.3,22.9,10.4,29.4,6.6,33.9,16.9,10.9,13.8,10.8
2025-02-24,25.6,11.8,31.1,21.5,10.5,27.3,6,36.2,16.5,10.6,13.2,10.5
2025-02-25,25.1,11.8,29.4,20.9,10.1,27.3,5.4,34.3,16.5,10.1,13,10.3
2025-02-26,25.4,11.8,29.1,20.9,9.9,27.3,5.5,33.3,16.7,10.2,13,10.3
2025-02-27,25.4,11.6,29.1,20.6,9.8,27.5,5.4,33.1,16.6,9.8,13.2,10.3
2025-02-28,25.7,11.5,29.5,20.6,9.8,27.8,5.3,33.3,16.5,9.5,13.3,10.3
2025-03-01,25.9,11.4,29.4,20.6,9.7,28.1,5.2,33.6,16.4,9.1,13.4,10.4
2025-03-02,25.8,11.3,29.3,20.3,9.6,28.3,5,33.8,16.2,8.6,13.5,10.2
2025-03-03,26,11.4,28.6,20.6,10.3,28.7,5.1,34.2,16.1,8.8,13.5,10
2025-03-04,26.2,11.2,28.8,20.7,10.4,28.9,5,34.3,16.1,8.7,13.4,9.8
2025-03-05,26.5,11.4,29.2,20.9,10.5,29.2,5.1,34.6,16.2,8.7,13.6,9.9
2025-03-06,26.8,11.5,29.8,21.4,10.5,29.3,5.2,34.8,16.3,8.8,14.4,9.5
2025-03-07,26.6,11.5,29.1,21.1,10.6,29.5,5.1,34.7,16.6,9,15,9.1
2025-03-08,26.6,11.4,29.2,21.6,10.6,29.6,5,34.7,16.7,8.9,15,9.4
2025-03-09,26.9,11.4,29.9,21.8,10.6,29.7,5.1,34.8,16.7,8.6,15.2,9.5
2025-03-10,26.8,11.3,29.4,21.4,10.5,29.8,5.1,34.9,16.7,8.3,15.1,9.5
2025-03-11,26.9,11.1,29.3,21.2,10.5,29.9,5,35,16.3,8.2,15.1,9.2
2025-03-12,26.6,11,28.9,20.9,10.5,29.9,4.7,35.1,16,7.6,15.2,9
2025-03-13,26.6,10.9,28.6,21.1,10.5,30.4,4.8,35.8,16.2,7.8,15.1,8.9
2025-03-14,27.4,10.8,29.3,22,10.9,30.7,4.8,36.2,16.2,8,15.1,8.9
2025-03-15,27.6,11.1,29.9,22.8,11.1,31.6,4.6,37.1,16.7,8.2,14.9,8.7
2025-03-16,28.4,12.2,31.6,24.9,11.5,32.6,4.7,38.4,17.4,8.4,15.2,9.1
2025-03-17,29.3,14.1,33.6,27.8,12.2,34.1,4.8,41.1,19.1,8.7,15,9.1
2025-03-18,29.9,14.1,34.1,28,12.7,34.9,4.7,41.2,19.2,8.6,15.1,8.9
2025-03-19,30.4,14.2,34.8,28.3,12.8,35,4.8,41.4,19.3,9,15.2,9
2025-03-20,30.4,14.3,35.1,28.5,12.9,35.2,4.7,41.7,19.2,9.1,15.2,9
2025-03-21,30.8,14.5,35.5,28.8,13.1,35.5,4.7,42.2,19.4,9.1,15.1,9.2
2025-03-22,31.4,14.5,36.2,29.1,13.3,36.1,4.8,42.9,19.6,9.1,15.2,9.2
2025-03-23,31.5,14,36.4,29,13.1,36.7,4.6,44.3,19.3,8.9,15,9.1
2025-03-24,31.2,14.1,36.7,28.9,12.9,36.8,4,44,18.9,8.3,15,9.1
2025-03-25,31,13.8,36.9,28.7,12.7,36.5,3.4,43.6,18.3,7.4,14.5,8.9
2025-03-26,30.7,13.3,36.5,28.3,12.5,36.2,2.4,43,17.6,6.1,14,8.4
2025-03-27,30.2,12.7,35.9,26.9,12.1,35.7,1.1,41.9,16.8,5.1,12.8,7.8
2025-03-28,29.8,12.2,34.3,26.4,11.7,35.4,0.3,41.4,16.4,4.2,12.4,7.3
2025-03-29,29.8,11.6,34.2,26.4,11.9,35.6,0.6,41.3,16.4,4.4,12.4,7
2025-03-30,30.2,11.6,35.2,26.8,11.9,35.7,0.6,41.4,16.3,4,12.5,6.6
2025-03-31,30.2,11.6,35.1,26.7,11.8,36,0.8,42.1,16.2,4.1,12.6,6.5
2025-04-01,30.4,11.7,35.2,27,11.8,36.4,1.1,42.6,16.5,4.4,13,6.6
2025-04-02,30.8,11.8,35,27.1,12.2,36.9,1.4,42.8,16.6,4.8,13.3,6.5
2025-04-03,31.1,11.7,35.3,27.1,12.3,37,1.4,43,16.8,4.9,13.4,6.4
2025-04-04,30.8,11.5,34.8,26.7,12.2,37.1,1.4,43.1,16.9,4.7,13.3,6
2025-04-05,31,11.4,35.2,26.7,12.2,37.1,1.3,43.4,16.5,4.2,13.3,5.6
2025-04-06,30.9,10.8,35.2,26,12,37.1,0.8,43.7,15.6,3.3,13.4,5
2025-04-07,30.7,10.5,35.1,25.5,11.7,37.1,0.1,43.4,14.6,2.3,13.2,4.5
2025-04-08,30.1,9.7,33.4,24.2,11.1,36,0,42.8,13.6,1.3,13,3.7
2025-04-09,29.6,9.1,32.5,23.7,10.7,35.7,0,41.8,13.2,0.7,12.6,3.1
2025-04-10,29.3,8.5,32.2,23,10.2,35.3,0,41.6,12.3,0.3,12.1,2.1
2025-04-11,28.6,7.6,31.4,21.8,9.6,34.7,0,41.2,11,0.1,11,0.8
2025-04-12,27.8,6.8,30.4,20.6,8.9,33.9,0,40.6,10.2,0,10.1,0.1
2025-04-13,27,6.2,29.3,20,8.3,33.5,0,39.9,9.5,0,9.6,0
2025-04-14,26.5,5.5,28.9,19.4,7.9,33.2,0,39.7,8.7,0,9.5,0
2025-04-15,25.6,4.6,28.1,18.3,7.4,32.8,0,39.4,7.7,0,8.7,0
2025-04-16,24.8,3.5,27.1,17.2,6.8,32.2,0,38.8,6.5,0,7.6,0
2025-04-17,24,2.6,25.8,16.2,6.1,31.5,0,38,5.4,0,6.3,0
2025-04-18,23.3,1.8,24.9,15.2,5.6,31.2,0,37.4,4.8,0,5.5,0
2025-04-19,22.5,0.8,24.2,14.5,5.2,30.8,0,37,3.8,0,4.9,0
2025-04-20,21.9,0,23.5,13.5,4.7,30.4,0,36.5,3.1,0,3.8,0
2025-04-21,21.3,0,22.8,12.8,4.2,30.1,0,36.2,2.2,0,2.5,0
2025-04-22,20.4,0,22.2,12,3.6,29.7,0,35.8,1,0,1.4,0
2025-04-23,19.3,0,21.4,11,2.9,29.4,0,35.3,0.1,0,0.9,0
2025-04-24,19,0,20.5,10.2,2.3,29.2,0,34.8,0,0,0.6,0
2025-04-25,18,0,19.8,9.3,1.6,28.8,0,34.2,0,0,0.4,0
2025-04-26,17,0,18.9,8.6,1,28.3,0,34.3,0,0,0.3,0
2025-04-27,16.3,0,18.2,7.7,0.3,27.9,0,33.3,0,0,0.3,0
2025-04-28,15.7,0,17,6.3,0.1,27.3,0,32.5,0,0,0.1,0
2025-04-29,14.8,0,16.1,5.1,0.1,26.7,0,32,0,0,0.1,0
2025-04-30,13.9,0,15.8,4.3,0,26,0,31.2,0,0,0,0
2025-05-01,13,0,14.7,3.2,0,25.3,0,30.6,0,0,0,0
2025-05-02,11.9,0,13.7,1.9,0,24.7,0,29.8,0,0,0,0
2025-05-03,10.4,0,12.5,0.3,0,23.8,0,28.8,0,0,0,0
2025-05-04,9.7,0,11.8,0,0,23,0,28.1,0,0,0,0
2025-05-05,8.9,0,10.9,0,0,22.6,0,27.7,0,0,0,0
2025-05-06,7.7,0,10,0,0,21.9,0,27.1,0,0,0,0
2025-05-07,6.5,0,8.8,0,0,21.3,0,26.2,0,0,0,0
2025-05-08,5.2,0,7.6,0,0,20.5,0,25.2,0,0,0,0
2025-05-09,3.7,0,6.2,0,0,19.8,0,24.2,0,0,0,0
2025-05-10,2.4,0,4.7,0,0,18.9,0,23,0,0,0,0
2025-05-11,0.8,0,3.2,0,0,18.1,0,21.6,0,0,0,0
2025-05-12,0.2,0,2.3,0,0,17.7,0,20.8,0,0,0,0
2025-05-13,1,0,2.9,0,0,18.2,0,21.3,0,0,0,0
2025-05-14,0.2,0,2.8,0,0,18.1,0,21.2,0,0,0,0
2025-05-15,0.1,0,2.5,0,0,17.8,0,20.9,0,0,0,0
2025-05-16,0,0,1.7,0,0,17.3,0,20.4,0,0,0,0
2025-05-17,0,0,0.7,0,0,16.7,0,19.7,0,0,0,0
2025-05-18,0,0,0.2,0,0,16.2,0,18.9,0,0,0,0
2025-05-19,0,0,0,0,0,15.8,0,18.6,0,0,0,0
2025-05-20,0,0,0,0,0,15.2,0,17.9,0,0,0,0
2025-05-21,0,0,0,0,0,14.4,0,17,0,0,0,0
2025-05-22,0,0,0,0,0,13.7,0,16.1,0,0,0,0
2025-05-23,0,0,0,0,0,12.8,0,15.2,0,0,0,0
2025-05-24,0,0,0,0,0,12,0,14.2,0,0,0,0
2025-05-25,0,0,0,0,0,11,0,13.1,0,0,0,0
2025-05-26,0,0,0,0,0,9.7,0,11.6,0,0,0,0
2025-05-27,0,0,0,0,0,8.7,0,10.6,0,0,0,0
2025-05-28,0,0,0,0,0,7.7,0,9.4,0,0,0,0
2025-05-29,0,0,0,0,0,5.9,0,7.7,0,0,0,0
2025-05-30,0,0,0,0,0,4.1,0,6.3,0,0,0,0
2025-05-31,0,0,0,0,0,2.4,0,4.5,0,0,0,0
2025-06-01,0,0,0,0,0,0.9,0,2.2,0,0,0,0
2025-06-02,0,0,0,0,0,0.2,0,1.1,0,0,0,0
2025-06-03,0,0,0,0,0,0,0,0.4,0,0,0,0
2025-06-04,0,0,0,0,0,0,0,0.1,0,0,0,0
2025-06-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-06,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-07,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-08,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-09,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-10,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-11,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-12,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-13,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-14,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-15,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-16,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-17,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-18,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-19,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-20,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-21,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-22,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-24,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-27,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-28,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-29,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-30,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-02,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-06,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-07,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-08,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-09,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-10,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-12,0,0,0,0.1,0,0,0,0.4,0,0,0,0
2025-07-13,0,0,0,0.1,0,0,0,0.4,0,0,0,0
2025-07-14,0,0,0,0.1,0,0,0,0.5,0,0,0,0
2025-07-15,0,0,0,0.1,0,0,0,0.4,0,0,0,0
2025-07-16,0,0,0,0.1,0,0,0,0.4,0,0,0,0
2025-07-17,0,0,0,0.1,0,0,0,0.4,0,0,0,0
